,Category,Message,Length
88,0,realli still tonight babe,42
89,0,ela kano il download come wen ur free,41
90,0,yeah stand close tho catch someth,58
91,0,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff moro includ time sheet sorri,194
92,0,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,141
93,1,pleas call custom servic repres pm guarante cash prize,137
94,0,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi,107
95,1,free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw,158
96,0,watch telugu movi wat abt u,33
97,0,see finish load loan pay,51
98,0,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u,178
99,0,see cup coffe anim,31
100,0,pleas text anymor noth els say,57
101,0,okay name ur price long legal wen pick u ave x am xx,81
102,0,still look car buy gone drive test yet,76
103,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,160
104,0,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,183
105,0,umma life vava umma love lot dear,44
106,0,thank lot wish birthday thank make birthday truli memor,95
107,0,aight hit get cash,43
108,0,would ip address test consid comput minecraft server,82
109,0,know grumpi old peopl mom like better lie alway one play joke,115
110,0,dont worri guess busi,30
111,0,plural noun research,40
112,0,go dinner msg,31
113,0,ok wif co like tri new thing scare u dun like mah co u said loud,96
114,1,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm,158
115,0,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,143
116,0,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went,156
117,1,winner u special select receiv holiday flight inc speak live oper claim p min,151
118,0,goodo ye must speak friday egg potato ratio tortilla need,71
119,0,hmm uncl inform pay school directli pl buy food,86
120,1,privat account statement show unredeem bonu point claim call identifi code expir,144
121,1,urgent mobil award bonu caller prize final tri contact u call landlin box wr c ppm,156
122,0,new address appl pair malarki,53
123,1,today voda number end select receiv award match pleas call quot claim code standard rate app,156
124,0,go sao mu today done,51
125,0,predict wat time finish buy,38
126,0,good stuff,20
127,0,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,244
128,0,room,22
129,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107
130,0,k k much cost,28
131,0,home,9
132,0,dear call tmorrow pl accomod,39
133,0,first answer question,25
134,1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,125
135,1,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec p msg p,162
136,0,haf msn yiju hotmail com,38
137,0,call meet,34
138,0,check room befor activ,46
139,1,rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri,155
140,0,got c lazi type forgot lect saw pouch like v nice,85
141,0,k text way,33
142,0,sir wait mail,27
143,0,swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni,156
144,0,know pl open back,42
145,0,ye see ya dot,25
146,0,what staff name take class us,48
147,1,freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end,159
148,0,ummma call check life begin qatar pl pray hard,84
149,0,k delet contact,33
150,0,sindu got job birla soft,30
151,0,wine flow never,45
152,0,yup thk cine better co need go plaza mah,59
153,0,ok ur typic repli,25
154,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,160
155,0,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,384
156,0,aaooooright work,28
157,0,leav hous,27
158,0,hello love get interview today happi good boy think miss,157
159,1,custom servic annonc new year deliveri wait pleas call arrang deliveri,124
160,1,winner u special select receiv cash holiday flight inc speak live oper claim,145
161,0,keep safe need miss alreadi envi everyon see real life,115
162,0,new car hous parent new job hand,64
163,0,love excit day spend make happi,85
164,1,pl stop bootydeli f invit friend repli ye see www sm ac u bootydeli stop send stop frnd,152
165,1,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internet servic menu,155
166,0,place ur point e cultur modul alreadi,51
167,1,urgent tri contact last weekend draw show prize guarante call claim code valid hr,156
168,0,hi frnd best way avoid missunderstd wit belov one,74
169,0,great escap fanci bridg need lager see tomo,66
170,0,ye complet form clark also utter wast,59
171,0,sir need axi bank account bank address,50
172,0,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,93
173,0,time come later,32
174,0,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,104
175,0,well gonna finish bath good fine night,61
176,0,let know got money carlo make call,65
177,0,u still go mall,26
178,0,turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth,146
179,0,text doesnt repli let know log,66
180,0,hi spoke maneesha v like know satisfi experi repli toll free ye,126
181,0,lift hope offer money need especi end month approach hurt studi anyway gr weekend,159
182,0,lol u trust,23
183,0,ok gentleman treat digniti respect,65
184,0,guy close,24
185,0,go noth great bye,26
186,0,hello handsom find job lazi work toward get back net mummi boytoy miss,152
187,0,haha awesom minut,34
188,1,pleas call custom servic repres freephon pm guarante cash prize,147
189,0,got xma radio time get,55
190,0,ju reach home go bath first si use net tell u finish k,88
191,1,uniqu enough find th august www areyouuniqu co uk,72
192,0,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week,185
193,0,hi final complet cours,37
194,0,stop howev suggest stay someon abl give or everi stool,111
195,0,hope settl new school year wishin gr day,92
196,0,gud mrng dear hav nice day,28
197,0,u got person stori,28
198,0,hamster dead hey tmr meet pm orchard mrt,63
199,0,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,131
200,0,found enc lt gt,40
201,0,sent lt gt buck,28
202,0,hello darlin ive finish colleg txt u finish u love kate xxx,84
203,0,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,174
204,0,goodmorn sleep ga,24
205,0,u call alter ok,25
206,0,say like dat dun buy ericsson oso cannot oredi lar,63
207,0,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went,156
208,0,aight yo dat straight dogg,28
209,0,pleas give us connect today lt decim gt refund bill,86
210,0,shoot big load get readi,39
211,0,bruv hope great break reward semest,73
212,0,home alway chat,26
213,0,k k good studi well,23
214,0,yup noe leh,23
215,0,sound great home,31
216,0,final match head toward draw predict,58
217,0,tire slept well past night,48
218,0,easi ah sen got select mean good,41
219,0,take exam march,32
220,0,yeah think use gt atm regist sure anyway help let know sure readi,159
221,0,ok prob take ur time,25
222,0,os call ubandu run without instal hard disk use os copi import file system give repair shop,161
223,0,sorri call later,22
224,0,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,119
225,1,new mobil must go txt nokia collect today www tc biz optout gbp mtmsg,142
226,0,would realli appreci call need someon talk,69
227,1,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari,137
228,0,hey compani elama po mudyadhu,30
229,0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,165
230,0,dear good morn,34
231,0,get gandhipuram walk cross cut road right side lt gt street road turn first right,109
232,0,dear go rubber place,37
233,0,sorri batteri die yeah,33
234,0,ye tv alway avail work place,48
235,1,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recd thirtyeight penc,157
236,0,print oh lt gt come upstair,50
237,0,ill littl closer like bu stop street,65
238,0,wil reach,38
239,0,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,145
240,1,u secret admir look make contact u find r reveal think ur special call,145
241,0,tomarrow final hear laptop case cant,51
242,0,pleassssssseeeee tel v avent done sportsx,45
243,0,okay shine meant sign sound better,83
244,0,although told u dat baig face watch realli like e watch u gave co fr u thanx everyth dat u done today touch,155
245,0,u rememb old commerci,37
246,0,late said websit dont slipper,78
247,0,ask call ok,30
248,0,kalli wont bat nd inning,31
249,0,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,146
250,1,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age,150
251,0,ranjith cal drpd deeraj deepak min hold,44
252,0,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,179
253,0,,27
254,0,up day also ship compani take wk way usp take week get lag may bribe nipost get stuff,179
255,0,back lemm know readi,38
256,0,necessarili expect done get back though headin,97
257,0,mmm yummi babe nice jolt suzi,43
258,0,lover need,36
259,1,tri contact repli offer video handset anytim network min unlimit text camcord repli call,154
260,0,park next mini come today think,72
261,0,yup,3
262,0,anyway go shop co si done yet dun disturb u liao,85
263,0,luton ring ur around h,51
264,1,hey realli horni want chat see nake text hot text charg pm unsubscrib text stop,121
265,0,dint come us,26
266,0,wana plan trip sometm,35
267,0,sure yet still tri get hold,47
268,1,ur rington servic chang free credit go club mobil com choos content stop txt club stop p wk club po box mk wt,159
269,0,evo download flash jealou,47
270,1,rington club get uk singl chart mobil week choos top qualiti rington messag free charg,133
271,0,come mu sort narcot situat,53
272,0,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,147
273,1,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com,155
274,0,usf guess might well take car,37
275,0,object bf come,31
276,0,thanx,8
277,0,tell rob mack gf theater,38
278,0,awesom see bit,30
279,0,sent type food like,47
280,0,done hand celebr full swing yet,56
281,0,got call tool,22
282,0,wen u miss someon person definit special u person special miss keep touch gdeve,141
283,0,ok ask money far,29
284,0,oki,7
285,0,yeah think usual guy still pass last night get ahold anybodi let know throw,121
286,0,k might come tonight class let earli,58
287,0,ok,4
288,0,hi babi im cruisin girl friend r u give call hour home that alright fone fone love jenni xxx,148
289,0,life mean lot love life love peopl life world call friend call world ge,160
290,0,dear shall mail tonit busi street shall updat tonit thing look ok varunnathu edukkukaye raksha ollu good one real sens,152
291,0,hey told name gautham ah,37
292,0,haf u found feel stupid da v cam work,55
293,0,oop got bit,21
294,0,much buzi,22
295,0,accident delet messag resend pleas,50
296,1,mobil custom may claim free camera phone upgrad pay go sim card loyalti call offer end thfeb c appli,159
297,0,unless situat go gurl would appropri,67
298,0,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,153
299,0,cant pick phone right pl send messag,51
300,0,need coffe run tomo believ time week alreadi,67
301,0,awesom rememb last time got somebodi high first time diesel v,88
302,0,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,157
303,0,oh way food fridg want go meal tonight,90
304,0,womdarful actor,24
305,1,sm ac blind date u rodd aberdeen unit kingdom check http img sm ac w icmb cktz r blind date send hide,146
306,0,yup remb think book,56
307,0,jo ask u wana meet,26
308,0,lol ye friendship hang thread caus u buy stuff,71
309,1,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap,138
310,0,garag key bookshelf,55
311,0,today accept day u accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,156
312,1,think ur smart win week weekli quiz text play cs winnersclub po box uz gbp week,133
313,0,say give call friend got money definit buy end week,119
314,0,hi way u day normal way real ur uniqu hope know u rest mylif hope u find wot lost,142
315,0,made day great day,41
316,0,k k advanc happi pongal,26
317,0,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,119
318,0,realli dude friend afraid,46
319,1,decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free,157
320,0,coffe cake guess,23
321,0,merri christma babe love ya kiss,51
322,0,hey dont go watch x men lunch haha,61
323,0,cud u tell ppl im gona b bit l co buse hav gon past co full im still waitin pete x,107
324,0,would great guild could meet bristol road somewher get touch weekend plan take flight good week,157
325,0,problem,30
326,0,call messag miss call,32
327,0,hi da today class,31
328,0,say good sign well know track record read women,79
329,0,cool text park,32
330,0,read text sent meant joke read light,86
331,0,k k apo k good movi,22
332,0,mayb could get book tomo return immedi someth,76
333,1,call germani penc per minut call fix line via access number prepay direct access,128
334,0,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor,232
335,1,valentin day special win quiz take partner trip lifetim send go p msg rcvd custcar,158
336,0,ta daaaaa home babe still,45
337,0,cool come havent wine dine,57
338,0,sleep surf,26
339,0,sorri call later,22
340,0,u call right call hand phone,41
341,0,ok great thanx lot,28
342,0,take post come must text happi read one wiv hello carolin end favourit bless,151
343,0,u hide stranger,29
344,0,interest like,34
345,0,sister clear two round birla soft yesterday,52
346,0,gudnit tc practic go,33
347,0,di yiju ju saw ur mail case huim havent sent u num di num,85
348,0,one small prestig problem,31
349,1,fanci shag interest sextextuk com txt xxuk suzi txt cost per msg tnc websit x,111
350,0,check realli miss see jeremiah great month,78
351,0,nah help never iphon,50
352,0,car hour half go apeshit,63
353,0,today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,148
354,0,yo guy ever figur much need alcohol jay tri figur much safe spend weed,129
355,0,lt gt ish minut minut ago wtf,45
356,0,thank call forgot say happi onam sirji fine rememb met insur person meet qatar insha allah rakhesh ex tata aig join tissco tayseer,202
357,1,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age,150
358,1,ur cash balanc current pound maxim ur cash send cash p msg cc hg suit land row w j hl,148
359,0,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,168
360,0,hello got st andrew boy long way cold keep post,85
361,0,ha ha cool cool chikku chikku db,38
362,0,oh ok prob,15
363,0,check audrey statu right,31
364,0,busi tri finish new year look forward final meet,88
365,0,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,160
366,0,well know z take care worri,50
367,1,updat xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt orang call mobileupd call optout f q,165
368,1,discount code rp stop messag repli stop www regalportfolio co uk custom servic,129
369,0,wat uniform get,26
370,0,cool text readi,31
371,0,hello boytoy geeee miss alreadi woke wish bed cuddl love,129
372,0,spoil bed well,34
373,0,go bath msg next lt gt min,54
374,0,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,162
375,1,thank rington order refer charg gbp per week unsubscrib anytim call custom servic,157
376,0,say happen,23
377,0,could seen recognis face,53
378,0,well lot thing happen lindsay new year sigh bar ptbo blue heron someth go,131
379,0,keep payasam rinu bring,36
380,0,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,143
381,0,guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri keep followin,300
382,0,yeah sure give coupl minut track wallet,59
383,0,hey leav big deal take care,42
384,0,hey late ah meet,41
385,1,doubl min txt month free bluetooth orang avail soni nokia motorola phone call mobileupd call optout n dx,149
386,0,took mr owl lick,22
387,0,custom place call,31
388,0,mm time dont like fun,30
389,1,mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat stoptxt,155
390,0,yup lunch buffet u eat alreadi,47
391,0,huh late fr dinner,25
392,0,hey sat go intro pilat kickbox,79
393,0,morn ok,22
394,0,ye think offic lap room think that last day didnt shut,115
395,0,pick bout ish time go,56
396,0,perform award calcul everi two month current one month period,102
397,0,actual sleep still might u call back text gr rock si send u text wen wake,118
398,0,alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,221
399,0,good even sir al salam wahleykkum share happi news grace god got offer tayseer tissco join hope fine inshah allah meet sometim rakhesh visitor india,204
400,0,hmmm k want chang field quickli da wanna get system administr network administr,114
401,1,free rington text first poli text get true tone help st free tone x pw e nd txt stop,156
402,0,dear chechi talk,39
403,0,hair cream ship,36
404,0,none happen til get though,48
405,0,yep great loxahatche xma tree burn lt gt start hour,77
406,0,haha get use drive usf man know lot stoner,60
407,0,well slightli disastr class pm fav darl hope day ok coffe wld good stay late tomorrow time place alway,168
408,0,hello good week fanci drink someth later,51
409,0,headin toward busetop,22
410,0,messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via fullonsm com,152
411,0,come room point iron plan weekend,75
412,0,co want thing,30
413,0,oki go yan jiu skip ard oso go cine den go mrt one blah blah blah,94
414,0,bring home wendi,24
415,1,date servic cal l box sk ch,49
416,0,whatsup dont u want sleep,35
417,0,alright new goal,29
418,1,free entri weekli competit text word win c www txttowin co uk,106
419,0,alright head minut text meet,66
420,1,send logo ur lover name join heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p,159
421,0,ye last week take live call,48
422,1,someon contact date servic enter phone fanci find call landlin pobox n tf p,162
423,0,siva hostel aha,24
424,1,urgent mobil number award prize guarante call land line claim valid hr,136
425,0,send ur friend receiv someth ur voic speak express childish naughti sentiment rowdi ful attitud romant shi attract funni lt gt irrit lt gt lovabl repli,248
426,0,ok ok guess,25
427,0,aathi dear,27
428,0,pain urin thing els,37
429,0,esplanad mind give lift co got car today,68
430,0,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac that prob,150
431,0,home watch tv lor,24
432,0,usual take fifteen fuck minut respond ye question,80
433,1,congrat nokia video camera phone call call cost ppm ave call min vari mobil close post bcm ldn wc n xx,157
434,0,book ticket pongal,25
435,0,avail like right around hillsborough amp lt gt th,73
436,0,messag sent askin lt gt dollar shoul pay lt gt lt gt,89
437,0,ask g iouri told stori like ten time alreadi,58
438,0,long applebe fuck take,36
439,0,hi hope u get txt journey hasnt gd min late think,76
440,0,like love arrang,47
441,0,ye realli great bhaji told kalli best cricket sachin world tough get,104
442,0,suppos wake gt,38
443,0,oic saw tot din c found group liao,69
444,0,sorri call later,22
445,0,hey hey wereth monkeespeopl say monkeyaround howdi gorgeou howu doin foundurself jobyet sausag love jen xxx,119
446,0,sorri batteri die come get gram place,94
447,0,well done blimey exercis yeah kinda rememb wot hmm,69
448,0,wont get concentr dear know mind everyth,73
449,0,lol made plan new year,42
450,0,min later k,17
451,0,hank lotsli,13
452,0,thank hope good day today,45
453,0,k k detail want transfer acc enough,57
454,0,ok tell stay yeah tough optimist thing improv month,105
455,1,loan purpos homeown tenant welcom previous refus still help call free text back help,162
456,0,si si think ill go make oreo truffl,47
457,0,look ami ure beauti intellig woman like u lot know u like like worri,115
458,0,hope result consist intellig kind start ask practicum link keep ear open best ttyl,158
459,0,call cost guess isnt bad miss ya need ya want ya love ya,79
460,0,go thru differ feel waver decis cope individu time heal everyth believ,142
461,0,u go phone gonna die stay,62
462,0,great never better day give even reason thank god,71
463,1,upgrdcentr orang custom may claim free camera phone upgrad loyalti call offer end th juli c appli opt avail,175
464,0,sorri call later ok bye,29
465,0,ok way railway,29
466,0,great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night,148
467,0,put stuff road keep get slipperi,83
468,0,go ride bike,37
469,0,yup need ju wait e rain stop,44
470,0,mani compani tell languag,45
471,1,okmail dear dave final notic collect tenerif holiday cash award call landlin tc sae box cw wx ppm,161
472,0,long sinc scream princess,50
473,0,noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also differ sure trust ja person send account detail co,298
474,1,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network txting moan nyt ec p msg p,159
475,0,nice line said broken heart plz cum time infront wise trust u good,125
476,0,ok gonna head usf like fifteen minut,51
477,0,love aathi love u lot,28
478,0,tension ah machi problem,34
479,0,k pick anoth th done,46
480,0,guy get back g said think stay mcr,81
481,0,almost see u sec,28
482,0,yo carlo friend alreadi ask work weekend,90
483,0,watch tv lor,18
484,0,thank babi cant wait tast real thing,54
485,0,chang fb jaykwon thuglyf falconerf,55
486,0,win realli side long time,45
487,1,free messag activ free text messag repli messag word free term condit visit www com,146
488,0,dear reach railway happen,40
489,0,depend qualiti want type sent boy fade glori want ralph mayb,107
490,0,think fix send test messag,50
491,0,sorri man account dri would want could trade back half could buy shit credit card,120
492,1,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss,160
493,0,sorri meet call later,32
494,0,class lt gt reunion,34
495,0,free call,32
496,0,got meh,16
497,0,nope think go monday sorri repli late,67
498,0,told accentur confirm true,55
499,0,kate jackson rec center ish right,43
500,0,dear reach room,23
501,0,fight world easi u either win lose bt fightng close u dificult u lose u lose u win u still lose,149
502,0,come,20
503,0,check nuerologist,23
504,0,lolnic went fish water,40
505,1,error,7
506,0,wait e car dat bore wat co wait outsid got noth home stuff watch tv wat,117
507,0,mayb westshor hyde park villag place near hous,62
508,0,know anthoni bring money school fee pay rent stuff like that need help friend need,166
509,0,signific,24
510,0,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli,136
511,0,latest g still scroung ammo want give new ak tri,99
512,0,prabha soryda reali frm heart sori,45
513,0,lol ok forgiven,23
514,0,jst chang tat,25
515,1,guarante latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd,147
516,0,competit,26
517,1,boltblu tone p repli poli mono eg poli cha cha slide yeah slow jamz toxic come stop tone txt,146
518,1,credit top http www bubbletext com renew pin tgxxrz,89
519,0,way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri,167
520,0,usual person unconsci children adult may behav abnorm call,117
521,0,ebay might less elsewher,46
522,0,shall come get pickl,26
523,0,gonna go get taco,28
524,0,rude campu,32
525,1,urgent mobil award bonu caller prize nd attempt contact call box qu,144
526,0,hi b ard christma enjoy n merri x ma,57
527,1,today offer claim ur worth discount voucher text ye savamob member offer mobil cs sub unsub repli x,158
528,0,ye pretti ladi like singl,42
529,1,reciev tone within next hr term condit pleas see channel u teletext pg,111
530,0,jay say doubl faggot,36
531,1,privat account statement show un redeem point call identifi code expir,145
532,0,today sunday sunday holiday work,50
533,0,gudnit tc practic go,33
534,0,late,15
535,0,call hope l r malaria know miss guy miss bani big pl give love especi great day,177
536,0,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea,160
537,0,probabl gonna see later tonight lt,63
538,0,mayb fat finger press button know,84
539,0,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear,84
540,0,tirupur da start offic call,57
541,1,www applausestor com monthlysubscript p msg max month csc web age stop txt stop,96
542,0,famou quot develop abil listen anyth uncondit without lose temper self confid mean marri,169
543,0,go colleg pa els ill come self pa,76
544,0,oclock mine bash flat plan,47
545,0,girl stay bed girl need recoveri time id rather pass fun coop bed,130
546,0,special,23
547,0,know need get hotel got invit apologis cali sweet come english bloke weddin,149
548,0,sorri took long omw,32
549,0,wait lt gt min,22
550,0,ok give minut think see btw alibi cut hair whole time,101
551,0,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck,281
552,0,hurri weed defici like three day,54
553,0,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo,120
554,0,ok everi night take warm bath drink cup milk see work magic still need loos weight know,138
555,0,look fri pan case cheap book perhap silli fri pan like book,127
556,0,well uv caus mutat sunscreen like essenti theseday,66
557,0,lunch onlin,40
558,0,know friend alreadi told,40
559,0,hi princess thank pic pretti,70
560,0,aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ah gee,159
561,0,hi msg offic,26
562,0,thanx e browni v nice,32
563,0,geeeee love much bare stand,51
564,1,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm,158
565,0,fuck babe miss alreadi know let send money toward net need want crave,146
566,0,ill call u mrw ninish address icki american freek wont stop callin bad jen k eh,103
567,0,oooh bed ridden ey think,45
568,0,anyway go gym whatev love smile hope ok good day babe miss much alreadi,142
569,0,love daddi make scream pleasur go slap ass dick,92
570,0,wot u wanna missi,26
571,0,yar lor wait mum finish sch lunch lor whole morn stay home clean room room quit clean hee,134
572,0,know lab goggl went,37
573,0,open door,22
574,0,wait call,22
575,0,nope wait sch daddi,32
576,1,cash prize claim call,69
577,0,tire argu week week want,109
578,0,wait sch finish ard,35
579,1,mobil number claim call us back ring claim hot line,99
